Player's Name,Height,Weight,Birthplace City,Birthplace State,College,College City,College State,Plays From,Plays From State,Birth Date,Exempt Status,Combined States,Birthplace City and State,College City and State,Plays From City and State,Headshot Link,,
Scott Stevens,N/A,N/A,Toronto,Ontario,None,None,None,"Toronto, Canada",N/A,8/23/2006,N/A,Ontario-None-N/A,"Toronto, Ontario",N/A,"Toronto, Canada","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_48962.png",,
Tyler McCumber,N/A,N/A,Ponte Vedra Beach,Florida,University of Florida,Gainesville,Florida,"Ponte Vedra Beach, FL",Florida,8/23/2007,N/A,Florida-Florida-Florida,"Ponte Vedra Beach, Florida","Gainesville, Florida","Ponte Vedra Beach, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_47449.png",,
Chris Naegel,N/A,N/A,St. Louis,Missouri,Mississippi State University,Starkville,Mississippi,"Chesterfield, MO",Missouri,8/23/2008,N/A,Missouri-Mississippi-Missouri,"St. Louis, Missouri","Starkville, Mississippi","Chesterfield, Missouri","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_47450.png",,
Brent Grant,N/A,N/A,Sacramento,California,None,None,None,"Sacramento, CA",California,8/23/2009,N/A,California-None-California,"Sacramento, California",N/A,"Sacramento, California","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_47451.png",,
Brian Stuard,N/A,N/A,Jackson,Michigan,Oakland University,Rochester,Michigan,"Jackson, MI",Michigan,8/23/2010,N/A,Michigan-Michigan-Michigan,"Jackson, Michigan","Rochester, Michigan","Jackson, Michigan","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_30976.png",,
Michael Sims,N/A,N/A,Toronto,Ontario,None,None,None,"Toronto, Canada",N/A,8/23/2011,N/A,Ontario-None-N/A,"Toronto, Ontario",N/A,"Toronto, Canada","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_48956.png",,
Aaron Beverly,N/A,N/A,Sacramento,California,None,None,None,"Sacramento, CA",California,8/23/2012,N/A,California-None-California,"Sacramento, California",N/A,"Sacramento, California","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_47452.png",,
Matt Marshall,N/A,N/A,Toronto,Ontario,None,None,None,"Toronto, Canada",N/A,8/23/2013,N/A,Ontario-None-N/A,"Toronto, Ontario",N/A,"Toronto, Canada","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_48951.png",,
Johnny Ruiz,N/A,N/A,Toronto,Ontario,None,None,None,"Toronto, Canada",N/A,8/23/2014,N/A,Ontario-None-N/A,"Toronto, Ontario",N/A,"Toronto, Canada","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_48957.png",,
Anders Albertson,N/A,N/A,Woodstock,Georgia,Georgia Tech,Atlanta,Georgia,"Woodstock, GA",Georgia,8/23/2015,N/A,Georgia-Georgia-Georgia,"Woodstock, Georgia","Atlanta, Georgia","Woodstock, Georgia","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_47453.png",,
Danielle Kang,N/A,N/A,San Francisco,California,Pepperdine University,Malibu,California,"Las Vegas, NV",Nevada,8/23/2016,N/A,California-California-Nevada,"San Francisco, California","Malibu, California","Las Vegas, Nevada","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_47454.png",,
Evan Bowser,N/A,N/A,Toronto,Ontario,None,None,None,"Toronto, Canada",N/A,8/23/2017,N/A,Ontario-None-N/A,"Toronto, Ontario",N/A,"Toronto, Canada","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_48958.png",,
Zac Oakley,N/A,N/A,Toronto,Ontario,None,None,None,"Toronto, Canada",N/A,8/23/2018,N/A,Ontario-None-N/A,"Toronto, Ontario",N/A,"Toronto, Canada","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_48960.png",,
Tim Wilkinson,N/A,N/A,Palmerston North,New Zealand,None,None,None,"Jacksonville, FL",Florida,8/23/2019,N/A,New Zealand-None-Florida,"Palmerston North, New Zealand",N/A,"Jacksonville, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_26015.png",,
Charlie Reiter,N/A,N/A,Palm Desert,California,University of San Diego,San Diego,California,"Palm Desert, CA",California,8/23/2020,N/A,California-California-California,"Palm Desert, California","San Diego, California","Palm Desert, California","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_58614.png",,
Andrew Kozan,N/A,N/A,Palm Beach Gardens,Florida,Auburn University,Auburn,Alabama,"Palm Beach Gardens, FL",Florida,8/23/2021,N/A,Florida-Alabama-Florida,"Palm Beach Gardens, Florida","Auburn, Alabama","Palm Beach Gardens, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_58615.png",,
Matt Parziale,N/A,N/A,Brockton,Massachusetts,None,None,None,"Brockton, MA",Massachusetts,8/23/2022,N/A,Massachusetts-None-Massachusetts,"Brockton, Massachusetts",N/A,"Brockton, Massachusetts","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_47455.png",,
Mark Anguiano,N/A,N/A,El Paso,Texas,None,None,None,"El Paso, TX",Texas,8/23/2023,N/A,Texas-None-Texas,"El Paso, Texas",N/A,"El Paso, Texas","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_47456.png",,
Taylor Montgomery,N/A,N/A,Las Vegas,Nevada,"University of Nevada, Las Vegas",Las Vegas,Nevada,"Las Vegas, NV",Nevada,8/23/2024,N/A,Nevada-Nevada-Nevada,"Las Vegas, Nevada","Las Vegas, Nevada","Las Vegas, Nevada","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_55789.png",,
,,,,,,,,,,,,,,,,,,
Ben Warian,N/A,N/A,Hill City,Minnesota,University of Minnesota,Minneapolis,Minnesota,"Hill City, MN",Minnesota,6/15/2001,N/A,Minnesota-Minnesota-Minnesota,"Hill City, Minnesota","Minneapolis, Minnesota","Hill City, Minnesota","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_58618.png",,
Alejandro Tosti,N/A,N/A,Rosario,Argentina,University of Florida,Gainesville,Florida,"Rosario, Argentina",Argentina,5/30/1996,N/A,Argentina-Florida-Argentina,"Rosario, Argentina","Gainesville, Florida","Rosario, Argentina","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51405.png",,
Tim Widing,N/A,N/A,Stockholm,Sweden,University of San Francisco,San Francisco,California,"Stockholm, Sweden",Sweden,4/12/1997,N/A,Sweden-California-Sweden,"Stockholm, Sweden","San Francisco, California","Stockholm, Sweden","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51406.png",,
Evan Beck,N/A,N/A,Wilmington,North Carolina,Wake Forest University,Winston-Salem,North Carolina,"Wilmington, NC",North Carolina,8/10/1998,N/A,North Carolina-North Carolina-North Carolina,"Wilmington, North Carolina","Winston-Salem, North Carolina","Wilmington, North Carolina","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_58619.png",,
Matt McCarty,N/A,N/A,Scottsdale,Arizona,Santa Clara University,Santa Clara,California,"Scottsdale, AZ",Arizona,11/5/1997,N/A,Arizona-California-Arizona,"Scottsdale, Arizona","Santa Clara, California","Scottsdale, Arizona","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51407.png",,
Rafael Campos,N/A,N/A,San Juan,Puerto Rico,Virginia Commonwealth University,Richmond,Virginia,"San Juan, PR",Puerto Rico,4/15/1988,N/A,Puerto Rico-Virginia-Puerto Rico,"San Juan, Puerto Rico","Richmond, Virginia","San Juan, Puerto Rico","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_35506.png",,
Pontus Widegren,N/A,N/A,Stockholm,Sweden,UCLA,Los Angeles,California,"Stockholm, Sweden",Sweden,6/14/1990,N/A,Sweden-California-Sweden,"Stockholm, Sweden","Los Angeles, California","Stockholm, Sweden","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51408.png",,
Matt Gilchrest,N/A,N/A,Raleigh,North Carolina,Auburn University,Auburn,Alabama,"Raleigh, NC",North Carolina,3/20/1995,N/A,North Carolina-Alabama-North Carolina,"Raleigh, North Carolina","Auburn, Alabama","Raleigh, North Carolina","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51409.png",,
Chase Seiffert,N/A,N/A,Panama City,Florida,Florida State University,Tallahassee,Florida,"Panama City, FL",Florida,8/17/1991,N/A,Florida-Florida-Florida,"Panama City, Florida","Tallahassee, Florida","Panama City, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51410.png",,
David Gazzolo,N/A,N/A,Crystal Lake,Illinois,Northern Illinois University,DeKalb,Illinois,"Crystal Lake, IL",Illinois,9/25/1996,N/A,Illinois-Illinois-Illinois,"Crystal Lake, Illinois","DeKalb, Illinois","Crystal Lake, Illinois","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_58620.png",,
Julien Brun,N/A,N/A,Nice,France,Texas Christian University,Fort Worth,Texas,"Nice, France",France,4/1/1992,N/A,France-Texas-France,"Nice, France","Fort Worth, Texas","Nice, France","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51411.png",,
Turk Pettit,N/A,N/A,Conway,South Carolina,Clemson University,Clemson,South Carolina,"Conway, SC",South Carolina,11/16/1998,N/A,South Carolina-South Carolina-South Carolina,"Conway, South Carolina","Clemson, South Carolina","Conway, South Carolina","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_58621.png",,
Gregor Main,N/A,N/A,Dublin,California,UCLA,Los Angeles,California,"Dublin, CA",California,2/28/1989,N/A,California-California-California,"Dublin, California","Los Angeles, California","Dublin, California","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51412.png",,
Joey Lane,N/A,N/A,Nashville,Tennessee,Tennessee Tech University,Cookeville,Tennessee,"Nashville, TN",Tennessee,7/10/1997,N/A,Tennessee-Tennessee-Tennessee,"Nashville, Tennessee","Cookeville, Tennessee","Nashville, Tennessee","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_58622.png",,
Hugo Townsend,N/A,N/A,Stockholm,Sweden,Boise State University,Boise,Idaho,"Stockholm, Sweden",Sweden,8/5/1999,N/A,Sweden-Idaho-Sweden,"Stockholm, Sweden","Boise, Idaho","Stockholm, Sweden","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51413.png",,
Will Zalatoris,N/A,N/A,San Francisco,California,Wake Forest University,Winston-Salem,North Carolina,"Dallas, TX",Texas,8/16/1996,N/A,California-North Carolina-Texas,"San Francisco, California","Winston-Salem, North Carolina","Dallas, Texas","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_48081.png",,
Pedro Figueiredo,N/A,N/A,Lisbon,Portugal,UCLA,Los Angeles,California,"Lisbon, Portugal",Portugal,11/13/1991,N/A,Portugal-California-Portugal,"Lisbon, Portugal","Los Angeles, California","Lisbon, Portugal","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51414.png",,
Cole Miller,N/A,N/A,Allentown,Pennsylvania,Penn State University,University Park,Pennsylvania,"Allentown, PA",Pennsylvania,12/4/1996,N/A,Pennsylvania-Pennsylvania-Pennsylvania,"Allentown, Pennsylvania","University Park, Pennsylvania","Allentown, Pennsylvania","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_58623.png",,
Tom Lovelady,N/A,N/A,Birmingham,Alabama,University of Alabama,Tuscaloosa,Alabama,"Birmingham, AL",Alabama,7/23/1993,N/A,Alabama-Alabama-Alabama,"Birmingham, Alabama","Tuscaloosa, Alabama","Birmingham, Alabama","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51415.png",,
Greyson Sigg,N/A,N/A,Augusta,Georgia,University of Georgia,Athens,Georgia,"Augusta, GA",Georgia,2/17/1995,N/A,Georgia-Georgia-Georgia,"Augusta, Georgia","Athens, Georgia","Augusta, Georgia","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51416.png",,
Will Grimmer,N/A,N/A,Cincinnati,Ohio,Ohio State University,Columbus,Ohio,"Cincinnati, OH",Ohio,3/15/1999,N/A,Ohio-Ohio-Ohio,"Cincinnati, Ohio","Columbus, Ohio","Cincinnati, Ohio","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_58624.png",,
Hugo Bernard,N/A,N/A,Montreal,Quebec,Laval University,Quebec City,Quebec,"Montreal, Canada",N/A,8/23/1997,N/A,Quebec-Quebec-N/A,"Montreal, Quebec","Quebec City, Quebec","Montreal, Canada","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51417.png",,
Ben Griffin,N/A,N/A,Chapel Hill,North Carolina,University of North Carolina,Chapel Hill,North Carolina,"Chapel Hill, NC",North Carolina,5/6/1996,N/A,North Carolina-North Carolina-North Carolina,"Chapel Hill, North Carolina","Chapel Hill, North Carolina","Chapel Hill, North Carolina","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51418.png",,
Kevin Dougherty,N/A,N/A,Tulsa,Oklahoma,Oklahoma State University,Stillwater,Oklahoma,"Tulsa, OK",Oklahoma,6/10/1991,N/A,Oklahoma-Oklahoma-Oklahoma,"Tulsa, Oklahoma","Stillwater, Oklahoma","Tulsa, Oklahoma","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51419.png",,
Scott Gutschewski,N/A,N/A,Omaha,Nebraska,University of Nebraska,Lincoln,Nebraska,"Omaha, NE",Nebraska,10/1/1976,N/A,Nebraska-Nebraska-Nebraska,"Omaha, Nebraska","Lincoln, Nebraska","Omaha, Nebraska","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_24926.png",,
Dylan Meyer,N/A,N/A,Evansville,Indiana,University of Illinois,Urbana-Champaign,Illinois,"Evansville, IN",Indiana,7/7/1995,N/A,Indiana-Illinois-Indiana,"Evansville, Indiana","Urbana-Champaign, Illinois","Evansville, Indiana","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51420.png",,
Michael Perras,N/A,N/A,Houston,Texas,University of Houston,Houston,Texas,"Houston, TX",Texas,8/23/1994,N/A,Texas-Texas-Texas,"Houston, Texas","Houston, Texas","Houston, Texas","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51421.png",,
Ben Taylor,N/A,N/A,Leatherhead,England,Louisiana State University,Baton Rouge,Louisiana,"Leatherhead, England",England,11/11/1992,N/A,England-Louisiana-England,"Leatherhead, England","Baton Rouge, Louisiana","Leatherhead, England","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51422.png",,
Ryan Ruffels,N/A,N/A,Melbourne,Australia,None,None,None,"Melbourne, Australia",Australia,4/22/1998,N/A,Australia-None-Australia,"Melbourne, Australia",N/A,"Melbourne, Australia","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51423.png",,
Will Cannon,N/A,N/A,Birmingham,Alabama,UAB,Birmingham,Alabama,"Birmingham, AL",Alabama,8/23/1997,N/A,Alabama-Alabama-Alabama,"Birmingham, Alabama","Birmingham, Alabama","Birmingham, Alabama","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51424.png",,
Nick Voke,N/A,N/A,Auckland,New Zealand,Iowa State University,Ames,Iowa,"Auckland, New Zealand",New Zealand,3/15/1995,N/A,New Zealand-Iowa-New Zealand,"Auckland, New Zealand","Ames, Iowa","Auckland, New Zealand","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51425.png",,
Austin Squires,N/A,N/A,Cincinnati,Ohio,University of Cincinnati,Cincinnati,Ohio,"Cincinnati, OH",Ohio,9/20/1996,N/A,Ohio-Ohio-Ohio,"Cincinnati, Ohio","Cincinnati, Ohio","Cincinnati, Ohio","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_58625.png",,
Evan Katz,N/A,N/A,Durham,North Carolina,Duke University,Durham,North Carolina,"Durham, NC",North Carolina,8/23/1995,N/A,North Carolina-North Carolina-North Carolina,"Durham, North Carolina","Durham, North Carolina","Durham, North Carolina","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51426.png",,
Derek Ernst,N/A,N/A,Clovis,California,UNLV,Las Vegas,Nevada,"Clovis, CA",California,5/16/1990,N/A,California-Nevada-California,"Clovis, California","Las Vegas, Nevada","Clovis, California","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_39971.png",,
Jonathan Byrd,N/A,N/A,Anderson,South Carolina,Clemson University,Clemson,South Carolina,"Sea Island, GA",Georgia,1/27/1978,N/A,South Carolina-South Carolina-Georgia,"Anderson, South Carolina","Clemson, South Carolina","Sea Island, Georgia","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_22405.png",,
George Cunningham,N/A,N/A,Tucson,Arizona,University of Arizona,Tucson,Arizona,"Tucson, AZ",Arizona,6/8/1995,N/A,Arizona-Arizona-Arizona,"Tucson, Arizona","Tucson, Arizona","Tucson, Arizona","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51427.png",,
Josh Hart,N/A,N/A,Richmond,Virginia,VCU,Richmond,Virginia,"Richmond, VA",Virginia,8/23/1994,N/A,Virginia-Virginia-Virginia,"Richmond, Virginia","Richmond, Virginia","Richmond, Virginia","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51428.png",,
Matt Hill,N/A,N/A,Brighton,Michigan,Northwood University,Midland,Michigan,"Brighton, MI",Michigan,8/23/1993,N/A,Michigan-Michigan-Michigan,"Brighton, Michigan","Midland, Michigan","Brighton, Michigan","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51429.png",,
Ryan Sullivan,N/A,N/A,Winston-Salem,North Carolina,Wake Forest University,Winston-Salem,North Carolina,"Winston-Salem, NC",North Carolina,8/23/1995,N/A,North Carolina-North Carolina-North Carolina,"Winston-Salem, North Carolina","Winston-Salem, North Carolina","Winston-Salem, North Carolina","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51430.png",,
Sean Kelly,N/A,N/A,Bradenton,Florida,University of South Florida,Tampa,Florida,"Bradenton, FL",Florida,8/23/1996,N/A,Florida-Florida-Florida,"Bradenton, Florida","Tampa, Florida","Bradenton, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51431.png",,
Eric Cole,N/A,N/A,Orlando,Florida,Nova Southeastern University,Fort Lauderdale,Florida,"Tequesta, FL",Florida,6/12/1988,N/A,Florida-Florida-Florida,"Orlando, Florida","Fort Lauderdale, Florida","Tequesta, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51432.png",,
Brandon Matthews,N/A,N/A,Pittston,Pennsylvania,Temple University,Philadelphia,Pennsylvania,"Pittston, PA",Pennsylvania,7/27/1994,N/A,Pennsylvania-Pennsylvania-Pennsylvania,"Pittston, Pennsylvania","Philadelphia, Pennsylvania","Pittston, Pennsylvania","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51433.png",,
Tom Whitney,N/A,N/A,La Jolla,California,Air Force Academy,Colorado Springs,Colorado,"Fort Collins, CO",Colorado,5/23/1989,N/A,California-Colorado-Colorado,"La Jolla, California","Colorado Springs, Colorado","Fort Collins, Colorado","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_48319.png",,
Scott Harrington,N/A,N/A,Raleigh,North Carolina,Northwestern University,Evanston,Illinois,"Scottsdale, AZ",Arizona,11/16/1980,N/A,North Carolina-Illinois-Arizona,"Raleigh, North Carolina","Evanston, Illinois","Scottsdale, Arizona","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51434.png",,
Michael Visacki,N/A,N/A,Sarasota,Florida,None,None,None,"Sarasota, FL",Florida,10/30/1993,N/A,Florida-None-Florida,"Sarasota, Florida",N/A,"Sarasota, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51435.png",,
Jim Knous,N/A,N/A,Denver,Colorado,Colorado School of Mines,Golden,Colorado,"Denver, CO",Colorado,1/24/1990,N/A,Colorado-Colorado-Colorado,"Denver, Colorado","Golden, Colorado","Denver, Colorado","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51436.png",,
Andy Zhang,N/A,N/A,Beijing,China,University of Florida,Gainesville,Florida,"Winter Garden, FL",Florida,12/14/1997,N/A,China-Florida-Florida,"Beijing, China","Gainesville, Florida","Winter Garden, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51437.png",,
Cameron Young,N/A,N/A,Scarborough,New York,Wake Forest University,Winston-Salem,North Carolina,"Jupiter, FL",Florida,5/7/1997,N/A,New York-North Carolina-Florida,"Scarborough, New York","Winston-Salem, North Carolina","Jupiter, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51438.png",,
Michael Gellerman,N/A,N/A,Tucson,Arizona,University of Oklahoma,Norman,Oklahoma,"Tucson, AZ",Arizona,8/23/1992,N/A,Arizona-Oklahoma-Arizona,"Tucson, Arizona","Norman, Oklahoma","Tucson, Arizona","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51439.png",,
Ben Cole,N/A,N/A,San Diego,California,San Diego State University,San Diego,California,"San Diego, CA",California,8/23/1995,N/A,California-California-California,"San Diego, California","San Diego, California","San Diego, California","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51440.png",,
Ryan McCormick,N/A,N/A,Middletown,New Jersey,St. John's University,Queens,New York,"Middletown, NJ",New Jersey,8/23/1991,N/A,New Jersey-New York-New Jersey,"Middletown, New Jersey","Queens, New York","Middletown, New Jersey","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51441.png",,
Erik Barnes,N/A,N/A,Austin,Texas,University of Texas,Austin,Texas,"Austin, TX",Texas,10/22/1987,N/A,Texas-Texas-Texas,"Austin, Texas","Austin, Texas","Austin, Texas","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_34374.png",,
